ID,H,w
2018-Es-01038,0.26962426,0.5831863
2018-Es-04481,0.25700405,0.59809357
2018-Es-00345,0.22713281,0.6349141
2018-Es-01856,0.29755166,0.5515056
2018-Es-06293,0.22477993,0.6379089
2018-Es-00578,0.1255628,0.7779246
2018-Es-00773,0.1834897,0.69282395
2018-Es-06551,0.17575333,0.7036272
2018-Es-02782,0.25908205,0.59561306
2018-Es-01308,0.14512224,0.7480807
2018-Es-02136,0.21328788,0.6527404
2018-Es-03951,0.26483193,0.5888029
