ID,H,w
2018-Es-05645,0.16949314,0.71249217
2018-Es-06272,0.24005578,0.61871433
2018-Es-01800,0.15087788,0.73951864
2018-Es-05215,0.2699793,0.5827724
2018-Es-04622,0.15591763,0.7321021
2018-Es-04709,0.1980748,0.67290604
2018-Es-04218,0.22406155,0.638826
2018-Es-04640,0.29513654,0.554176
2018-Es-02637,0.2381019,0.6211369
2018-Es-03098,0.1811995,0.69600457
2018-Es-01832,0.22512828,0.6374646
2018-Es-06792,0.18034987,0.6971883
2018-Es-06708,0.2768876,0.5747759
2018-Es-05160,0.20274188,0.6666543
2018-Es-01748,0.14562763,0.7473248
2018-Es-05827,0.29383352,0.555622
2018-Es-03520,0.3025128,0.5460605
2018-Es-04355,0.16141129,0.7241023
2018-Es-00202,0.26169813,0.5925048
2018-Es-05316,0.18690582,0.68810654
2018-Es-01932,0.16350484,0.7210767
2018-Es-01792,0.13463253,0.7639407
2018-Es-00072,0.29508764,0.5542301
2018-Es-00570,0.15245336,0.73719215
2018-Es-02738,0.24665007,0.610608
2018-Es-05666,0.24505252,0.612562
2018-Es-04281,0.18172792,0.69526947
2018-Es-06349,0.2005065,0.6696414
2018-Es-01786,0.30382386,0.54463047
2018-Es-02006,0.27689776,0.57476413
2018-Es-06460,0.13749872,0.759574
2018-Es-03497,0.18447427,0.691461
2018-Es-01842,0.29336435,0.55614364
2018-Es-00162,0.19366597,0.67886573
2018-Es-04088,0.30111855,0.5475853
2018-Es-06598,0.13321668,0.766107
2018-Es-02567,0.16616042,0.71725714
2018-Es-03765,0.18247834,0.69422674
2018-Es-01963,0.14923245,0.74195635
2018-Es-00708,0.14027134,0.7553737
2018-Es-02711,0.30271104,0.54584396
2018-Es-04971,0.21946062,0.6447316
2018-Es-02614,0.19137144,0.68198824
2018-Es-02856,0.15094616,0.7394177
2018-Es-02150,0.15508205,0.7333266
2018-Es-05798,0.20290694,0.6664342
2018-Es-02952,0.18004979,0.69760686
2018-Es-03409,0.32641307,0.5205725
2018-Es-02195,0.19022217,0.68355757
2018-Es-06629,0.19069098,0.682917
2018-Es-06016,0.22654873,0.6356562
2018-Es-03544,0.31063148,0.5372655
2018-Es-04670,0.2305087,0.6306417
2018-Es-02246,0.3339404,0.51279414
2018-Es-02300,0.22021247,0.6437628
2018-Es-05418,0.18415974,0.6918961
2018-Es-01349,0.26327398,0.59064037
2018-Es-06350,0.20644383,0.6617366
2018-Es-06053,0.16733009,0.71558124
2018-Es-05887,0.1940681,0.67831993
2018-Es-05350,0.26214668,0.59197354
2018-Es-05867,0.3091237,0.5388881
2018-Es-04899,0.2305952,0.6305326
2018-Es-00920,0.19948268,0.67101395
2018-Es-06288,0.2581359,0.59674114
2018-Es-02284,0.20485707,0.66384
2018-Es-06061,0.31651223,0.53098345
2018-Es-04486,0.13481633,0.76365995
2018-Es-02134,0.1919642,0.68118024
2018-Es-05770,0.26722237,0.58599454
2018-Es-03829,0.14731596,0.7448057
2018-Es-03899,0.2475418,0.60951996
2018-Es-01151,0.14220692,0.7524551
2018-Es-04058,0.1424547,0.7520824
2018-Es-03080,0.13713327,0.7601294
2018-Es-04992,0.15918393,0.72733516
2018-Es-02787,0.20346704,0.6656881
2018-Es-02698,0.19609207,0.67557967
2018-Es-02241,0.19645329,0.6750918
2018-Es-03335,0.37064183,0.47650185
2018-Es-01701,0.15559341,0.73257697
2018-Es-04983,0.21174668,0.65475553
2018-Es-02816,0.16577628,0.71780837
2018-Es-04006,0.17613485,0.7030905
2018-Es-06031,0.17159157,0.70950824
2018-Es-00275,0.25922716,0.59544015
2018-Es-02812,0.28117096,0.5698729
2018-Es-04933,0.14459366,0.7488719
2018-Es-00226,0.15451384,0.73416036
2018-Es-05018,0.28826264,0.56184727
2018-Es-04570,0.21672192,0.6482727
2018-Es-04449,0.24818648,0.60873455
2018-Es-01608,0.25078046,0.6055847
2018-Es-00935,0.29052332,0.55931264
2018-Es-01280,0.16537607,0.7183832
2018-Es-05134,0.17815712,0.7002526
2018-Es-02398,0.2508869,0.60545576
2018-Es-04237,0.1432177,0.7509356
2018-Es-02052,0.14232789,0.7522731
2018-Es-06580,0.26176557,0.5924249
2018-Es-06435,0.2466324,0.61062956
2018-Es-01230,0.20856719,0.6589324
2018-Es-05320,0.17892179,0.69918245
2018-Es-03833,0.2255184,0.6369674
2018-Es-02342,0.17529157,0.7042773
2018-Es-04718,0.22432241,0.6384928
2018-Es-02829,0.2759092,0.5759017
2018-Es-03483,0.16104132,0.7246383
2018-Es-04843,0.13151605,0.7687172
2018-Es-06344,0.24463731,0.6130709
2018-Es-05720,0.13426103,0.7645086
2018-Es-06528,0.14456668,0.7489123
2018-Es-03136,0.31583488,0.53170323
2018-Es-02067,0.1877509,0.6869445
2018-Es-00243,0.27657846,0.5751313
2018-Es-00465,0.19183435,0.68135715
2018-Es-00283,0.13653384,0.7610413
2018-Es-04414,0.15851611,0.72830725
2018-Es-05968,0.19975218,0.6706524
2018-Es-03808,0.27627566,0.57547975
2018-Es-00829,0.24815722,0.6087702
2018-Es-06808,0.20465988,0.6641019
2018-Es-03397,0.25016877,0.606326
2018-Es-03848,0.10827433,0.80529326
2018-Es-06519,0.32002097,0.5272703
2018-Es-00412,0.1957995,0.67597514
2018-Es-05903,0.20986126,0.6572291
2018-Es-00997,0.18799116,0.68661445
2018-Es-01065,0.16227561,0.7228517
2018-Es-01248,0.17486435,0.70487934
2018-Es-04812,0.15772434,0.7294615
2018-Es-06667,0.26420984,0.5895359
2018-Es-01764,0.15296735,0.7364347
2018-Es-00455,0.19476463,0.67737573
2018-Es-03200,0.21232148,0.65400326
2018-Es-00352,0.28111753,0.5699338
2018-Es-05005,0.16921045,0.7128952
2018-Es-02541,0.1731248,0.7073358
2018-Es-03360,0.21170758,0.65480673
2018-Es-06090,0.23398986,0.6262662
2018-Es-01563,0.14858025,0.74292475
2018-Es-05515,0.17357159,0.7067042
2018-Es-04050,0.29600048,0.5532192
2018-Es-01611,0.24096285,0.617593
2018-Es-04882,0.17250222,0.7082172
2018-Es-04008,0.17168285,0.7093787
2018-Es-03006,0.16338438,0.7212505
2018-Es-06190,0.18232483,0.69443995
2018-Es-02747,0.28256166,0.5682901
2018-Es-02290,0.25502935,0.6004603
2018-Es-03208,0.19992243,0.6704241
2018-Es-05262,0.20947896,0.6577319
2018-Es-00475,0.1923096,0.68070984
2018-Es-05918,0.24131082,0.6171633
2018-Es-03449,0.13736197,0.7597818
2018-Es-04784,0.22877201,0.632836
2018-Es-06707,0.24893245,0.60782707
2018-Es-00360,0.24981031,0.6067608
2018-Es-02498,0.309496,0.538487
2018-Es-06306,0.1209982,0.78505903
2018-Es-01378,0.2918057,0.55788
2018-Es-01882,0.20491685,0.66376066
2018-Es-04091,0.14011557,0.7556091
2018-Es-06284,0.20590883,0.66244507
2018-Es-01720,0.23729275,0.6221429
2018-Es-04140,0.15463084,0.73398864
2018-Es-03069,0.21895689,0.6453814
2018-Es-05313,0.253062,0.6028276
2018-Es-03879,0.19079967,0.68276864
2018-Es-00516,0.15781803,0.72932476
2018-Es-05428,0.16527835,0.7185236
2018-Es-01601,0.18513177,0.69055235
2018-Es-00781,0.21895693,0.6453814
2018-Es-04825,0.1446514,0.74878544
2018-Es-01648,0.17639726,0.7027216
2018-Es-02892,0.17509873,0.704549
2018-Es-04515,0.22933055,0.6321294
2018-Es-05384,0.2084077,0.6591426
2018-Es-06258,0.22355045,0.6394794
2018-Es-03122,0.22987026,0.6314475
2018-Es-03986,0.18835278,0.68611807
2018-Es-04065,0.22555828,0.6369166
2018-Es-00712,0.2303534,0.63083756
2018-Es-02050,0.14725108,0.74490225
2018-Es-06328,0.28410724,0.56653607
2018-Es-05684,0.21612401,0.6490484
2018-Es-01828,0.17294453,0.70759094
2018-Es-03816,0.2155168,0.6498371
2018-Es-01351,0.3067715,0.5414292
2018-Es-06085,0.17840473,0.6999058
2018-Es-05132,0.19930266,0.6712556
2018-Es-00113,0.26445678,0.5892448
2018-Es-02749,0.33613247,0.5105509
2018-Es-06837,0.2037621,0.66529536
2018-Es-05043,0.2504646,0.60596734
2018-Es-02993,0.24783878,0.60915804
2018-Es-02448,0.17055298,0.7109835
2018-Es-04817,0.17457011,0.70529425
2018-Es-06235,0.13800412,0.7588067
2018-Es-01344,0.2742686,0.57779443
2018-Es-04205,0.20669132,0.66140914
2018-Es-06121,0.17624134,0.70294076
2018-Es-02736,0.14347285,0.7505525
2018-Es-00807,0.25870436,0.5960631
2018-Es-03425,0.13419,0.7646172
2018-Es-05637,0.17816706,0.70023865
2018-Es-01152,0.28215495,0.5687525
2018-Es-01108,0.25662932,0.598542
2018-Es-00118,0.20942202,0.6578068
2018-Es-06524,0.2045489,0.6642493
2018-Es-00695,0.14569256,0.74722785
2018-Es-04450,0.19033419,0.68340445
2018-Es-00354,0.20105122,0.66891223
2018-Es-01366,0.131459,0.7688049
2018-Es-00001,0.1903747,0.68334913
2018-Es-01412,0.1805881,0.6968562
2018-Es-03297,0.14856364,0.7429494
2018-Es-00744,0.17897306,0.69911075
2018-Es-00271,0.22289887,0.6403133
2018-Es-05466,0.3010761,0.54763174
2018-Es-03740,0.14285815,0.75147575
2018-Es-06020,0.289612,0.560333
2018-Es-04499,0.15113202,0.7391429
2018-Es-03481,0.22651176,0.6357032
2018-Es-02181,0.16536446,0.7183998
2018-Es-06385,0.1408733,0.75446475
