bin,H_range,n,H_mean,w_mean,HL,RL,miF1,maF1,AP
1,"[0.1059, 0.1628]",136,0.14426541328430176,0.7496275901794434,0.04077540106951872,0.036683006535947714,0.8423772609819121,0.574103452457887,0.6118134285668865
2,"[0.1628, 0.1907]",136,0.1770491749048233,0.701894223690033,0.09358288770053476,0.07770191409897291,0.6902654867256637,0.5588030495502109,0.6117123435456882
3,"[0.1907, 0.2207]",135,0.2058592587709427,0.6626110076904297,0.13063973063973064,0.10979423868312756,0.6283524904214559,0.5514866378562132,0.6018542224344345
4,"[0.2207, 0.2600]",136,0.24048131704330444,0.6183629035949707,0.15106951871657753,0.11808181605975723,0.5830258302583026,0.5516969726495907,0.5651683458007035
5,"[0.2600, 0.3706]",136,0.28973689675331116,0.560732901096344,0.19518716577540107,0.1603670634920635,0.49480968858131485,0.4707909098444609,0.45935258784703586
