label,entropy_mean,entropy_std,prob_mean,prob_std
pessimism,0.35964083671569824,0.24413952231407166,0.1870625764131546,0.19116947054862976
sadness,0.2949514389038086,0.21919003129005432,0.3751158118247986,0.3803248703479767
anticipation,0.2314472645521164,0.1452634632587433,0.08599604666233063,0.12644407153129578
anger,0.2314205914735794,0.21824145317077637,0.3227178454399109,0.3869614899158478
love,0.22934477031230927,0.21369127929210663,0.32230672240257263,0.3882065415382385
disgust,0.22891710698604584,0.21903343498706818,0.14251965284347534,0.23236751556396484
optimism,0.2285178154706955,0.23047985136508942,0.3112248480319977,0.38090768456459045
fear,0.1794070452451706,0.17167900502681732,0.17689105868339539,0.31104230880737305
joy,0.1734132617712021,0.19734597206115723,0.3357725441455841,0.41632071137428284
trust,0.16941116750240326,0.1649886667728424,0.05751825496554375,0.09250906109809875
surprise,0.09285949915647507,0.09038301557302475,0.023004943504929543,0.04236632212996483
