Model,HL ↓,RL ↓,miF1 ↑,maF1 ↑,AP ↑
EN + Ambiguity,0.1625707830064995,0.08624249331521502,0.8374292169935005,0.5905083107802783,0.6221795415389985
ES + Ambiguity,0.1406001146715933,0.1118816809601673,0.8593998853284067,0.5082121113498793,0.5189285030575778
AR + Ambiguity,0.2026590010779734,0.12244965179747788,0.7973409989220266,0.5270841684575039,0.5384734282841204
BOTH + Ambiguity,0.1617802980664991,0.10094627594627593,0.8382197019335009,0.5566183555735109,0.5817089270954873
BOTH + Ambiguity + PU,0.1617802980664991,0.10094627594627593,0.8382197019335009,0.5566183555735109,0.5817089270954873
